Merhav, Eshkol, Rishut, Yishuv_Code, Yishuv_Number, Yishuv_Name, Religion, Population_Regular_21_7, Self_Evacuated, Population_Remaining_Estimate_16_7, Departure_Ratio_Regular, Independent_Evacuees_Current_Population, Evacuation_By_Buses, Will_Not_Evacuate, Age_0_2, Age_2_12, Age_0_12, Age_12_18, Age_0_2_Remaining, Age_2_12_Remaining, Age_0_12_Remaining, Age_12_18_Remaining, Bus_Count, Families_With_Children_Count, Families_With_Children_Evacuated_Count, Rooms_Required_For_Families_With_Children_Evacuated, Residents_Without_Family_Evacuated_Count, Rooms_For_Residents_Without_Minor_Children, Total_Rooms_Required_All_Evacuees, Total_Rooms_Required_For_Bus_Evacuees, Total_Rooms_Required_For_Independent_Evacuees_After_Order, Total_Rooms_Required_All_Evacuees_After_Order, Total_Estimated_Rooms_For_Residents_Outside_Yishuv_July_24, Total_Estimated_Rooms_For_Eligible_Residents_Excluding_Remaining
גליל,אשכול א​,מ.א. הגליל העליון,1,14,כפר סאלד​,יהודי-חילוני,751,220,531,0.71,399,54,80,22,124,146,75.1,16,88,104,54,2,52.3,44.5,75.87,228.11,148.27,224.14,26.37,39.55,65.92,55.72,279.86
גליל,אשכול א​,מ.א. הגליל העליון,1,26,שדה נחמיה​,יהודי-חילוני,1194,469,725,0.61,544,73,109,22,192,214,119.4,14,117,130,73,2,67.2,57.1,97.48,329.43,214.13,311.61,36.66,54.99,91.65,120.95,432.55
גליל,אשכול א​,מ.א. הגליל העליון,1,27,שמיר​,יהודי-חילוני,979,279,700,0.72,525,70,105,22,136,158,97.9,16,98,113,70,2,60.6,51.5,87.88,336.44,218.68,306.56,36.07,54.1,90.16,73.31,379.87
גליל,אשכול א​,מ.א. הגליל העליון,1,12,כפר בלום​,יהודי-חילוני,1056,398,658,0.62,494,66,99,23,164,187,105.6,15,103,117,66,2,60.6,51.5,87.88,300.74,195.48,283.35,33.34,50,83.34,102.83,386.19
גליל,אשכול א​,מ.א. הגליל העליון,1,19,נאות מרדכי​,יהודי-חילוני,834,243,591,0.71,444,60,89,28,140,168,83.4,20,100,120,60,2,59.6,50.7,86.43,248.03,161.22,247.65,29.14,43.7,72.84,61.1,308.75
גליל,אשכול א​,מ.א. הגליל העליון,1,16,להבות הבשן​,יהודי-חילוני,977,18,959,0.98,720,96,144,15,133,148,97.7,15,131,146,96,3,80.1,68.1,116.21,473.22,307.6,423.8,49.86,74.79,124.65,4.77,428.58
גליל,אשכול א​,מ.א. הגליל העליון,1,5,גונן​,יהודי-חילוני,511,105,406,0.79,305,41,61,9,75,84,51.1,8,60,67,41,2,35.8,30.4,51.86,192.51,125.13,176.99,20.82,31.23,52.06,27.46,204.45
גליל,אשכול ב​,מ.א. מרום הגליל,4,25,ריחאניה​,צ'רקסי,1325,25,1300,0.98,390,130,780,35,197,232,132.5,35,194,228,130,4,159.8,63.9,102.08,248.94,161.81,263.89,65.97,98.96,164.93,3.04,266.94
גליל,אשכול ב​,מ.א. מרום הגליל,2,15,כרם בן זמרה​,יהודי-דתי,667,0,677,1.01,508,68,102,22,128,150,66.7,23,130,153,68,2,59.9,50.9,90.41,285.78,185.76,276.17,32.49,48.74,81.23,0,276.17
גליל,אשכול ב​,מ.א. מרום הגליל,2,22,עלמה​,יהודי-דתי,901,0,960,1.07,720,96,144,29,172,201,90.1,31,184,215,96,3,84.3,71.6,127.23,408.37,265.44,392.67,46.2,69.3,115.49,0,392.67
