Hotel_ID,hotel_name,City,ADDRESS
D36924F8-0780-EF11-81A1-005056816226,עין גדי תיירות שותפות מוגבלת - מלון עין גדי,עין גדי,עין גדי 1
D56924F8-0780-EF11-81A1-005056816226,7 מיינדס הוטלס בע"מ,תל אביב - יפו,נחלת בנימין 56
D76924F8-0780-EF11-81A1-005056816226,פרימה מיוזיק,אילת,חוף אלמוג, איזמרגד 2
D96924F8-0780-EF11-81A1-005056816226,מלון דן ירושלים,ירושלים,לחי 32
DB6924F8-0780-EF11-81A1-005056816226,מלון קראון פלזה סיטי סנטר(חברת מלונות הירדן מ.ה.י),תל אביב - יפו,מנחם בגין 136
DF6924F8-0780-EF11-81A1-005056816226,תיירות צובה,צובה,קיבוץ פלמח צובה 00
E16924F8-0780-EF11-81A1-005056816226,קיבוץ משמר העמק,משמר העמק,משמר העמק משמר העמק
E36924F8-0780-EF11-81A1-005056816226,פנינה בגולן בע"מ,חד נס,חד נס חד נס
E76924F8-0780-EF11-81A1-005056816226,א.ס עספור תיירות בע"מ,גבעת אלה,הגשר 7
EB6924F8-0780-EF11-81A1-005056816226,קליין א.ש. החזקות נכסים,רחובות,מוסקוביץ 15
EF6924F8-0780-EF11-81A1-005056816226,איילה ריזורט בע"מ,איילת השחר,איילת השחר 1
F16924F8-0780-EF11-81A1-005056816226,ארגון קהילת המארחים של אילת,אילת,שיבולים 15
F56924F8-0780-EF11-81A1-005056816226,גד-חי חברה להשקעות וניהול בע"מ,תל אביב,לה גארדיה 31
F76924F8-0780-EF11-81A1-005056816226,ריינס 5 ת"א,תל אביב,הורדים 18
FB6924F8-0780-EF11-81A1-005056816226,וילה נופש הלל כלנית,כלנית,כלנית 000
036A24F8-0780-EF11-81A1-005056816226,כרמיאל פארק הזית בע"מ,כרמיאל,החרושת 49
0B6A24F8-0780-EF11-81A1-005056816226,בתי נורית מושב רמות,רמות,רמות 000
0D6A24F8-0780-EF11-81A1-005056816226,דלקום ע.י.קום בע"מ,תל אביב,בלוד דוד 17
0F6A24F8-0780-EF11-81A1-005056816226,מ.א. חוף אשקלון,ד.נ. חוף אשקלוןד.נ. חוף אשקלון,ד.נ. חוף אשקלון ד.נ. חוף אשקלון
1B6A24F8-0780-EF11-81A1-005056816226,מלון קרלטון סיטי נהריה,נהריה,שדרות הגעתון 23
1D6A24F8-0780-EF11-81A1-005056816226,המתקן של עידו - טסט,ירושלים, 
1F6A24F8-0780-EF11-81A1-005056816226,איי.פי.סי. ירושלים בע"מ,ירושלים,אגרון 26
