Settlement_id,Name,Settlement_sign
D104ED66-B67D-EF11-81A1-005056816226,אדמית ,1068
3B05ED66-B67D-EF11-81A1-005056816226,עראמשה ,1246
7905ED66-B67D-EF11-81A1-005056816226,אביבים ,1115
9905ED66-B67D-EF11-81A1-005056816226,ברעם ,667
BF05ED66-B67D-EF11-81A1-005056816226,בארי ,399
1706ED66-B67D-EF11-81A1-005056816226,בית הלל ,322
5106ED66-B67D-EF11-81A1-005056816226,בצת ,589
7106ED66-B67D-EF11-81A1-005056816226,דפנה ,302
7B06ED66-B67D-EF11-81A1-005056816226,דן ,303
9306ED66-B67D-EF11-81A1-005056816226,דישון ,2063
9B06ED66-B67D-EF11-81A1-005056816226,דוב"ב ,1067
C306ED66-B67D-EF11-81A1-005056816226,אילון ,294
EB06ED66-B67D-EF11-81A1-005056816226,עין השלושה ,676
1F07ED66-B67D-EF11-81A1-005056816226,אבן מנחם ,1081
8F07ED66-B67D-EF11-81A1-005056816226,ע'ג'ר ,4501
D907ED66-B67D-EF11-81A1-005056816226,גורן ,755
DB07ED66-B67D-EF11-81A1-005056816226,גורנות הגליל ,1219
ED07ED66-B67D-EF11-81A1-005056816226,הגושרים ,356
FD07ED66-B67D-EF11-81A1-005056816226,חניתה ,280
5508ED66-B67D-EF11-81A1-005056816226,חולית ,1239
D508ED66-B67D-EF11-81A1-005056816226,כפר עזה ,845
E908ED66-B67D-EF11-81A1-005056816226,כפר גלעדי ,76
2109ED66-B67D-EF11-81A1-005056816226,כפר ראש הנקרה ,579
2309ED66-B67D-EF11-81A1-005056816226,כפר רוזנואלד (זרעית) ,1130
5F09ED66-B67D-EF11-81A1-005056816226,כרם שלום ,1085
6F09ED66-B67D-EF11-81A1-005056816226,כיסופים ,840
9509ED66-B67D-EF11-81A1-005056816226,לימן ,674
C909ED66-B67D-EF11-81A1-005056816226,מעין ברוך ,416
F309ED66-B67D-EF11-81A1-005056816226,מלכיה ,596
FB09ED66-B67D-EF11-81A1-005056816226,מרגליות ,843
150AED66-B67D-EF11-81A1-005056816226,מתת ,1184
230AED66-B67D-EF11-81A1-005056816226,מצובה ,325
3D0AED66-B67D-EF11-81A1-005056816226,מנרה ,347
5D0AED66-B67D-EF11-81A1-005056816226,מטולה ,43
8B0AED66-B67D-EF11-81A1-005056816226,משגב עם ,378
D30AED66-B67D-EF11-81A1-005056816226,נחל עוז ,844
150BED66-B67D-EF11-81A1-005056816226,נתיב העשרה ,1242
1F0BED66-B67D-EF11-81A1-005056816226,נטועה ,1147
5D0BED66-B67D-EF11-81A1-005056816226,ניר עוז ,69
630BED66-B67D-EF11-81A1-005056816226,ניר יצחק ,402
670BED66-B67D-EF11-81A1-005056816226,נירים ,602
230CED66-B67D-EF11-81A1-005056816226,קרית שמונה ,2800
5B0CED66-B67D-EF11-81A1-005056816226,רמות נפתלי ,372
670CED66-B67D-EF11-81A1-005056816226,רעים ,713
B90CED66-B67D-EF11-81A1-005056816226,סאסא ,578
F10CED66-B67D-EF11-81A1-005056816226,שניר ,1132
250DED66-B67D-EF11-81A1-005056816226,שאר ישוב ,324
330DED66-B67D-EF11-81A1-005056816226,שלומי ,812
390DED66-B67D-EF11-81A1-005056816226,שתולה ,1045
550DED66-B67D-EF11-81A1-005056816226,שומרה ,614
690DED66-B67D-EF11-81A1-005056816226,סופה ,1238
ED0DED66-B67D-EF11-81A1-005056816226,יערה ,795
390EED66-B67D-EF11-81A1-005056816226,יפתח ,453
3D0EED66-B67D-EF11-81A1-005056816226,יראון ,623
550EED66-B67D-EF11-81A1-005056816226,יובל ,2009
7F0EED66-B67D-EF11-81A1-005056816226,צבעון ,1213
